Item Code,Description,Base UOM,Item Group,Item Type
011552424T2G,T2 5X2400X2400X50X150MM V.F  HGIV HGIT25242450150,PC,01-7,0
01156092475VZG,900MM X 75MM X 6MM X 2.4M V-SERIES V.F HGI & PE GREY HGIPEV6092475GREY,PC,01-7,0
01156122475VZG,1200MM X 75MM X 6MM X 2.4M V-SERIES V.F HGI & PE GREY HGIPEV6122475GREY,PC,01-7,0
01156152475VZG,1500MM X 75MM X 6MM X 2.4M V-SERIES  V.F HGI & PE GREY HGIPEV6152475GREY,PC,01-7,0
01156182475VZG,1800MM X 75MM X 6MM X 2.4M V-SERIES V.F HGI & PE GREY HGIPEV6182475GREY,PC,01-7,0
011570924100VZG,900MM X 100MM X 6MM X 2.4M V-SERIES V.F HGI & PE GREY HGIPEV60924100GREY,PC,01-7,0
011571224100VZG,1200MM X 100MM X 6MM X 2.4M V-SERIES  V.F HGI & PE GREY HGIPEV61224100GREY,PC,01-7,0
011571524100VZG,1500MM X 100MM X 6MM X 2.4M V-SERIES V.F HGI & PE GREY HGIPEV61524100GREY,PC,01-7,0
011571824100VZG,1800MM X 100MM X 6MM X 2.4M V-SERIES  V.F HGI & PE GREY HGIPEV61824100GREY,PC,01-7,0
011580924075HGI,V-SERIES 900MM X 75MM X 6MM X 2.4M V.F HGIV HGIV6092475,PC,01-7,0
011581224075HGI,V-SERIES 1200MM X 75MM X 6MM X 2.4M V.F HGIV HGIV6122475,PC,01-7,0
011581524075HGI,V-SERIES 1500MM X 75MM X 6MM X 2.4M V.F HGIV HGIV6152475,PC,01-7,0
011581824075HGI,V-SERIES 1800MM X 75MM X 6MM X 2.4M V.F HGIV HGIV6182475,PC,01-7,0
011590924100HGI,V-SERIES 900MM X 100MM X 6MM X 2.4M V.F HGIV HGIV60924100,PC,01-7,0
011591224100HGI,V-SERIES 1200MM X 100MM X 6MM X 2.4M V.F HGIV HGIV61224100,PC,01-7,0
011591524100HGI,V-SERIES 1500MM X 100MM X 6MM X 2.4M V.F HGIV  HGIV61524100,PC,01-7,0
011591824100HGI,V-SERIES 1800MM X 100MM X 6MM X 2.4M V.F HGIV HGIV61824100,PC,01-7,0
011600924V2GREY,V2 5X900X2400X50X300MM VF HGI & PE GREY HGIPEV25092450300GREY,PC,01-7,0
011601224V2GREY,V2 5X1200X2400X50X300MM VF HGI & PE GREY HGIPEV2512245030GREY,PC,01-7,0
011601524V2GREY,V2 5X1500X2400X50X300MM VF HGI & PE GREY HGIPEV2515245030GREY,PC,01-7,0
011601824V2GREY,V2 5X1800X2400X50X300MM VF HGI & PE GREY HGIPEV2518245030GREY,PC,01-7,0
011602124V2GREY,V2 5X2100X2400X50X300MM VF HGI & PE GREY HGIPEV25212450300GREY,PC,01-7,0
0116182475V,1800MM X 75MM X 6MM X 2.4M V.F VF61824-75VZ,PC,01-7,0
0116261080G2G,G2 5X1080X2410X65X200MM V.F  HGI & PE GREY HGIPEG251080GREY ,PC,01-7,0
0116261280G2G,G2 5X1280X2410X65X200MM V.F  HGI & PE GREY HGIPEG251280GREY,PC,01-7,0
0116261480G2G,G2 5X1480X2410X65X200MM V.F  HGI & PE GREY HGIPEG251480GREY,PC,01-7,0
0116261680G2G,G2 5X1680X2410X65X200MM V.F  HGI & PE GREY HGIPEG251680GREY,PC,01-7,0
0116261880G2G,G2 5X1880X2410X65X200MM V.F  HGI & PE GREY HGIPEG251880GREY,PC,01-7,0
0116351080G,G SERIES 5X1080X2410X65X200MM V.F  HGI & PE GREY HGIPEG51080GREY,PC,01-7,0
0116351280G,G SERIES 5X1280X2410X65X200MM V.F  HGI & PE GREY HGIPEG51280GREY,PC,01-7,0
0116351480G,G SERIES 5X1480X2410X65X200MM V.F  HGI & PE GREY HGIPEG51480GREY,PC,01-7,0
0116351680G,G SERIES 5X1680X2410X65X200MM V.F  HGI & PE GREY HGIPEG51680GREY,PC,01-7,0
0116351880G,G SERIES 5X1880X2410X65X200MM V.F  HGI & PE GREY HGIPEG51880GREY,PC,01-7,0
0119150924T2,T2 5X900X2400X50X150MM  HGI & PE GREY HGIPE25092450150GREY,PC,01-7,0
0119151224T2,T2 5X1200X2400X50X150MM HGI & PE GREY HGIPE25122450150GREY,PC,01-7,0
0119151524T2,T2 5X1500X2400X50X150MM HGI & PE GREY HGIPE25152450150GREY,PC,01-7,0
0119151824T2,T2 5X1800X2400X50X150MM HGI & PE GREY HGIPE25152450150GREY,PC,01-7,0
0119152124T2,T2 5X2100X2400X50X150MM HGI & PE GREY HGIPE25212450150GREY,PC,01-7,0
0119152424T2,T2 5X2400X2400 X50X150MM HGI & PE GREY HGIPE25242450150GREY,PC,01-7,0
012071502320,50MMX50MMX2.3MMX1.6M-2M GI HOLLOW PIPE (S SERIES),PC,01-7,0
012071502330,50MMX50MMX2.3MMX2.1M-3M GI HOLLOW PIPE (S SERIES),PC,01-7,0
